"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/202"";"""";""2023-05-05"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""43471","76"";"""";""""",,,,,
"Fatura;""FAT/202"";"""";""2023-05-05"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão ABRIL"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/203"";"""";""2023-05-05"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""44000","66"";"""";""""",,,,,
"Fatura;""FAT/203"";"""";""2023-05-05"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão ABRIL"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/204"";"""";""2023-05-05"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""44102","14"";"""";""""",,,,,
"Fatura;""FAT/204"";"""";""2023-05-05"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- MAIO.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/205"";"""";""2023-05-05"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""44286","64"";"""";""""",,,,,
"Fatura;""FAT/205"";"""";""2023-05-05"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow ABRIL"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/206"";"""";""2023-05-12"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""44409","64"";"""";""""",,,,,
"Fatura;""FAT/206"";"""";""2023-05-12"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio ABRIL"";""5","000"";""Uni."";""20","00000"";""100","00"";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""123","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/207"";"""";""2023-05-17"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""604","58"";""0","00"";""604","58"";""139","05"";""0","00"";""743","63"";""45153","27"";"""";""""",,,,,
"Fatura;""FAT/207"";"""";""2023-05-17"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Frederico)"";""1","000"";""Uni."";""604","58000"";""604","58"";""604","58"";""0","00"";""604","58"";""139","05"";""0","00"";""743","63"";""743","63""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/208"";"""";""2023-06-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""45682","17"";"""";""""",,,,,
"Fatura;""FAT/208"";"""";""2023-06-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão MAIO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/209"";"""";""2023-06-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""46211","07"";"""";""""",,,,,
"Fatura;""FAT/209"";"""";""2023-06-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão MAIO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/210"";"""";""2023-06-01"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""46312","55"";"""";""""",,,,,
"Fatura;""FAT/210"";"""";""2023-06-01"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- JUNHO.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/211"";"""";""2023-06-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""46497","05"";"""";""""",,,,,
"Fatura;""FAT/211"";"""";""2023-06-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow MAIO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/212"";"""";""2023-06-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""46620","05"";"""";""""",,,,,
"Fatura;""FAT/212"";"""";""2023-06-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio MAIO"";""5","000"";""Uni."";""20","00000"";""100","00"";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""123","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/213"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""705","56"";""0","00"";""705","56"";""162","28"";""0","00"";""867","84"";""47487","89"";"""";""""",,,,,
"Fatura;""FAT/213"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0117/TJ/22 (Vishal)"";""1","000"";""Uni."";""705","56000"";""705","56"";""705","56"";""0","00"";""705","56"";""162","28"";""0","00"";""867","84"";""867","84""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/214"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""632","58"";""0","00"";""632","58"";""145","49"";""0","00"";""778","07"";""48265","96"";"""";""""",,,,,
"Fatura;""FAT/214"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0017/TJ/23 (La Salette)"";""1","000"";""Uni."";""632","58000"";""632","58"";""632","58"";""0","00"";""632","58"";""145","49"";""0","00"";""778","07"";""778","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/215"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""442","23"";""0","00"";""442","23"";""101","71"";""0","00"";""543","94"";""48809","90"";"""";""""",,,,,
"Fatura;""FAT/215"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Kaio)"";""1","000"";""Uni."";""442","23000"";""442","23"";""442","23"";""0","00"";""442","23"";""101","71"";""0","00"";""543","94"";""543","94""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/216"";"""";""2023-06-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""48979","97"";"""";""2ª tranche recebida 1396","71""",,,,
"Fatura;""FAT/216"";"""";""2023-06-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio - processo nº 2420/TE/22 (Marina)"";""1","000"";""Uni."";""138","27000"";""138","27"";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""170","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/217"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""869","70"";""0","00"";""869","70"";""200","04"";""0","00"";""1069","74"";""50049","71"";"""";""""",,,,,
"Fatura;""FAT/217"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Alessandra)"";""1","000"";""Uni."";""434","85000"";""434","85"";""434","85"";""0","00"";""434","85"";""100","02"";""0","00"";""534","87"";""534","87""",,
"Fatura;""FAT/217"";"""";""2023-06-05"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Joyce)"";""1","000"";""Uni."";""434","85000"";""434","85"";""434","85"";""0","00"";""434","85"";""100","02"";""0","00"";""534","87"";""1069","74""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/218"";"""";""2023-07-03"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""50578","61"";"""";""""",,,,,
"Fatura;""FAT/218"";"""";""2023-07-03"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JUNHO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/219"";"""";""2023-07-03"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""51107","51"";"""";""""",,,,,
"Fatura;""FAT/219"";"""";""2023-07-03"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JUNHO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/220"";"""";""2023-07-03"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""51208","99"";"""";""""",,,,,
"Fatura;""FAT/220"";"""";""2023-07-03"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- JULHO.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/221"";"""";""2023-07-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""51393","49"";"""";""""",,,,,
"Fatura;""FAT/221"";"""";""2023-07-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow JUNHO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/222"";"""";""2023-07-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""51731","74"";"""";""""",,,,,
"Fatura;""FAT/222"";"""";""2023-07-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""IEFP gestão processos - 3º trimestre 2023"";""1","000"";""Uni."";""275","00000"";""275","00"";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""338","25""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/223"";"""";""2023-07-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""503","12"";""0","00"";""503","12"";""115","72"";""0","00"";""618","84"";""52350","58"";"""";""""",,,,,
"Fatura;""FAT/223"";"""";""2023-07-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0247/TJ/23 (Frederico)"";""1","000"";""Uni."";""503","12000"";""503","12"";""503","12"";""0","00"";""503","12"";""115","72"";""0","00"";""618","84"";""618","84""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/224"";"""";""2023-07-04"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""483","29"";""0","00"";""483","29"";""111","16"";""0","00"";""594","45"";""52945","03"";"""";""""",,,,,
"Fatura;""FAT/224"";"""";""2023-07-04"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Tiago Mendes))"";""1","000"";""Uni."";""483","29000"";""483","29"";""483","29"";""0","00"";""483","29"";""111","16"";""0","00"";""594","45"";""594","45""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/225"";"""";""2023-07-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""218","95"";""0","00"";""218","95"";""50","36"";""0","00"";""269","31"";""53214","34"";"""";""""",,,,,
"Fatura;""FAT/225"";"""";""2023-07-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio Ativar - processo nº 0413/TI/21 (Raquel e Gonçalo)"";""1","000"";""Uni."";""218","95000"";""218","95"";""218","95"";""0","00"";""218","95"";""50","36"";""0","00"";""269","31"";""269","31""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/226"";"""";""2023-07-04"";""MEET & TRAVEL","LDA"";""510054463"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""864","78"";""0","00"";""864","78"";""198","90"";""0","00"";""1063","68"";""54278","02"";"""";""""",,,,
"Fatura;""FAT/226"";"""";""2023-07-04"";""MEET & TRAVEL","LDA"";""510054463"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Compromisso Emprego"";""1","000"";""Uni."";""864","78000"";""864","78"";""864","78"";""0","00"";""864","78"";""198","90"";""0","00"";""1063","68"";""1063","68""",
 ,,,,,,,,,,,,
"Fatura;""FAT/227"";"""";""2023-07-10"";""BOTEQUIM LAR DE IDOSOS LDA"";""504108220"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""456","04"";""0","00"";""456","04"";""104","89"";""0","00"";""560","93"";""54838","95"";"""";""""",,,,,
"Fatura;""FAT/227"";"""";""2023-07-10"";""BOTEQUIM LAR DE IDOSOS LDA"";""504108220"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Maria Abrantes)"";""1","000"";""Uni."";""456","04000"";""456","04"";""456","04"";""0","00"";""456","04"";""104","89"";""0","00"";""560","93"";""560","93""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/228"";"""";""2023-07-11"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""130","00"";""0","00"";""130","00"";""29","90"";""0","00"";""159","90"";""54998","85"";"""";""""",,,,,
"Fatura;""FAT/228"";"""";""2023-07-11"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio JUNHO"";""1","000"";""Uni."";""130","00000"";""130","00"";""130","00"";""0","00"";""130","00"";""29","90"";""0","00"";""159","90"";""159","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/229"";"""";""2023-07-11"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""286","00"";""0","00"";""286","00"";""65","78"";""0","00"";""351","78"";""55350","63"";"""";""""",,,,,
"Fatura;""FAT/229"";"""";""2023-07-11"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Junho"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/229"";"""";""2023-07-11"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Junho"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/229"";"""";""2023-07-11"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Junho (inscrições acima 10ª)"";""1","000"";""Uni."";""0","00000"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""290","28""",,
"Fatura;""FAT/229"";"""";""2023-07-11"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Retenção DDs Junho"";""1","000"";""Uni."";""50","00000"";""50","00"";""50","00"";""0","00"";""50","00"";""11","50"";""0","00"";""61","50"";""351","78""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/230"";"""";""2023-07-11"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""55707","33"";"""";""""",,,,,
"Fatura;""FAT/230"";"""";""2023-07-11"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/231"";"""";""2023-07-25"";""BOTEQUIM LAR DE IDOSOS LDA"";""504108220"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""267","08"";""0","00"";""267","08"";""61","43"";""0","00"";""328","51"";""56035","84"";"""";""""",,,,,
"Fatura;""FAT/231"";"""";""2023-07-25"";""BOTEQUIM LAR DE IDOSOS LDA"";""504108220"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Leyla)"";""1","000"";""Uni."";""267","08000"";""267","08"";""267","08"";""0","00"";""267","08"";""61","43"";""0","00"";""328","51"";""328","51""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/232"";"""";""2023-07-26"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1394","87"";""0","00"";""1394","87"";""320","82"";""0","00"";""1715","69"";""57751","53"";"""";""""",,,,,
"Fatura;""FAT/232"";"""";""2023-07-26"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0001/TJ/23"";""1","000"";""Uni."";""1394","87000"";""1394","87"";""1394","87"";""0","00"";""1394","87"";""320","82"";""0","00"";""1715","69"";""1715","69""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/233"";"""";""2023-07-28"";""FATOR PREFERENCIAL - UNIPESSOAL LDA"";""513741003"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""192","86"";""0","00"";""192","86"";""44","36"";""0","00"";""237","22"";""57988","75"";"""";""""",,,,,
"Fatura;""FAT/233"";"""";""2023-07-28"";""FATOR PREFERENCIAL - UNIPESSOAL LDA"";""513741003"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio Ativar - processo nº 0020/TE/23"";""1","000"";""Uni."";""192","86000"";""192","86"";""192","86"";""0","00"";""192","86"";""44","36"";""0","00"";""237","22"";""237","22""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/234"";"""";""2023-07-31"";""SONHOS & PERIPÉCIAS PRODUÇÕES UNIPESSOAL LDA"";""514407816"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""58173","25"";"""";""""",,,,,
"Fatura;""FAT/234"";"""";""2023-07-31"";""SONHOS & PERIPÉCIAS PRODUÇÕES UNIPESSOAL LDA"";""514407816"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Plano e-commerce - 1ª tranche (50%)"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/235"";"""";""2023-08-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""58702","15"";"""";""""",,,,,
"Fatura;""FAT/235"";"""";""2023-08-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JULHO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/236"";"""";""2023-08-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""59231","05"";"""";""""",,,,,
"Fatura;""FAT/236"";"""";""2023-08-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JULHO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/237"";"""";""2023-08-01"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""59332","53"";"""";""""",,,,,
"Fatura;""FAT/237"";"""";""2023-08-01"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- AGOSTO.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
